company_jp,company_en,sector,category,ir_url,disclosure_url,fy2025_esr_status,esr_pct,esr_scope,as_of,source_url,doc_type,checked_at,notes
東京海上ホールディングス,Tokio Marine Holdings,損保,HD上場,https://www.tokiomarinehd.com/ir/,,posted,268,group,2026-03-31,https://www.tokiomarinehd.com/ir/event/presentation/2025/gi58a80000002zwa-att/Tokio_Marine_2025Q4_Results_Presentation_j.pdf,2025年度決算プレゼンテーション資料(2026-05-20),2026-09-13,"2026-09-13 1차출처 재확보·수치 정정. 종전 238%는 원문에 없는 2차보도 인용값이었다 — 決算プレゼンテーション資料(2026-05-20) p5 「268%(2026.3末), 2025.9末 297% 대비 △29pt」, p44 ESR 추이·감응도. 有報(EDINET S100YLS8, 2026-06-26) 본문도 「2026年3月末時点におけるESRは268％」로 일치. 99.5%VaR 내부ESR(2026.3末부터 정의 변경, 그전 99.95%VaR). 自己株式取得 4,000억엔 반영 후 255%, 사업계획 리스크테이크까지 반영 시 234%. 목표 190%以上. 종전 URL(.../gi58a8000000246z-att/...)은 게시 디렉토리 변경으로 404 → gi58a80000002zwa-att 로 교체"
東京海上日動火災保険,Tokio Marine & Nichido Fire,損保,損保子会社,https://www.tokiomarine-nichido.co.jp/ir/,https://www.tokiomarine-nichido.co.jp/company/pdf/TMNF_2026_d.pdf,not_yet,,,,,,2026-09-13,"티켓 inbox/jp/20260913T0230Z 실측: 본편(292p) 확보·확인. 「主要な経営指標等の推移」p87(단체5개년)+p127-128(연결). FY2025 正味損害率61.6%/正味事業費率31.4%(合算率행 없음, 파생93.0%). 단체SMR 행은 全FY 'ー'/'別時期での開示' — 2026年10月末に開示予定, ESR 개별수치 여전히 미공표."
日新火災海上保険,Nisshin Fire & Marine,損保,子会社,https://irbank.net/E03829,https://www.nisshinfire.co.jp/ir/pdf/disclosure2026.pdf,not_yet,,,,,,2026-09-13,"티켓 inbox/jp/20260913T0230Z: 자사 공식 IR 페이지 확인됨(WebSearch, https://www.nisshinfire.co.jp/ir/disclosure.html) — '日新火災の現状2026'(6.4MB) PDF URL 특정. 단, 이 세션 중 curl 대상 도메인이 접속거부로 전환돼 PDF 원문은 못 열어봄(손해율 실측 미실시) — disclosure_url만 갱신, 10월 재census에서 curl 재시도 필요."
東京海上日動あんしん生命保険,Tokio Marine & Nichido Life,生保,子会社,https://www.tmn-anshin.co.jp/,,not_yet,,,,,,2026-09-12,자사 사이트 존재 확인되나 ESR 개별 공시 미확인(검색상 ESR 제도 일반설명만 검출)
MS&ADインシュアランスグループHD,MS&AD Insurance Group Holdings,損保,HD上場,https://www.ms-ad-hd.com/ja/ir/,,posted,214,group,2026-03-31,https://www.ms-ad-hd.com/ja/ir/ir_event/event/event2026/main/0111111116/teaserItems1/00/linkList/0/link/FY2025Q4_J2.pdf,2025年度通期決算 電話会議資料(2026-05-20),2026-09-13,"2026-09-13 1차출처 교체. 종전 URL(auto_20260213561398)은 2026-02-13 三井住友海上·あいおいニッセイ同和 합병 보도자료로 ESR 미수록 — 문서 오인용이었다(기본 fetcher 에는 403 이라 그동안 열어보지 못했다). 2025年度通期決算 電話会議資料 p17 직접 확인 「226%→214%」, 統合リスク量=신뢰수준 99.5% VaR, 健全性 하한 180%. 수치 214% 는 종전과 동일"
三井住友海上火災保険,Mitsui Sumitomo Insurance,損保,子会社,https://www.ms-ad-hd.com/ja/ir/library/securities/msi.html,https://www.ms-ins.com/company/aboutus/disclosure/data/a01.pdf,not_yet,,,,,,2026-09-13,"티켓 inbox/jp/20260913T0230Z 실측: 본편(272p) 확보·확인. 5개년 단일표는 못 찾음(목차 p132는 연결IFRS 2개년뿐), 대신 3개년 종목별표(8)에 合算率 직접공시: FY2025 合計행 損害率62.8%/事業費率30.4%/合算率93.2%. SMR/ESR 개별수치는 자회사표 각주(p241)에 '2026年10月末までに開示します' — 미공표, ESR목표180%以上(p47) 서술만 확인."
あいおいニッセイ同和損害保険,Aioi Nissay Dowa,損保,子会社(MS&AD),https://irbank.net/E03833,,not_yet,,,,,,2026-09-12,"[중복행 주의] jp_insurers.csv 57번째 데이터행=8번째 데이터행(part1 담당범위, 1~41행)과 동일회사. part1 조사결과와 대조·병합 필요. 개별 재조사는 못함(중복 제거 우선), MS&AD그룹 자체는 ESR 214%(2026-03-31) 공시 완료(jesr_sources_2026Q1.csv 기록)이나 이는 그룹연결값이며 자회사 개별값은 미확인."
三井住友海上あいおい生命保険,MSA Life Insurance,生保,子会社,https://www.msa-life.co.jp/,,not_yet,,,,,,2026-09-12,"자사 사이트 확인, ESR 개별 공시 미확인"
三井住友海上プライマリー生命保険,MS Primary Life,生保,子会社,https://www.ms-primary.com/company/disclosure/,,not_yet,,,,,,2026-09-12,"ディスクロージャー 페이지 확인(기존 jp_insurers.csv의 msp-life.co.jp 대신 ms-primary.com이 정확한 자사 도메인), ESR 수치는 미확인"
SOMPOホールディングス,Sompo Holdings,損保,HD上場,https://www.sompo-hd.com/ir/,,posted,270,group,2026-03-31,https://www.sompo-hd.com/-/media/hd/files/doc/pdf/ir/2026/ir_20260520.pdf?la=ja-JP,"決算説明資料(2026-05-20, VaR99.5%기준)",2026-09-12,jesr_sources_2026Q1.csv 기존치(270%) 재확인. PDF는 WebFetch로 1.9MB 정상 다운로드(접속 확인)되나 이미지 위주라 텍스트 자동추출은 실패 - 기존 수집 회차의 직접확인 기록을 유지
