company_jp,company_en,ticker,group_or_solo,esr_pct,esr_basis,as_of,所要資本_bn_jpy,適格資本_bn_jpy,総資産_tn_jpy,target_pct,yoy_change_pp,source_url,doc_type,doc_date,notes
東京海上ホールディングス,Tokio Marine Holdings,8766,group,238,J-ICS,2026-03-31,,,31.96,190%+,,https://www.tokiomarinehd.com/ir/event/presentation/2025/gi58a8000000246z-att/4Q_FY2025_Summary_Report_j.pdf,決算短信,2026-05-20,Q1 FY2026 (Jun 2025) ESR=238% reported stable within target 200-250%. New J-ICS basis from 2026.3末; target reset to 190%+.
MS&ADインシュアランスグループHD,MS&AD Insurance Group Holdings,8725,group,214,J-ICS,2026-03-31,,,,,-12,https://finance.logmi.jp/articles/385032,決算説明,2026-05,"ESR 214% as of 2026.3末, -12pp yoy. Source: logmi finance earnings transcript."
SOMPOホールディングス,Sompo Holdings,8630,group,270,J-ICS_VaR99.5,2026-03-31,,,,200%+,,https://www.sompo-hd.com/-/media/hd/files/doc/pdf/ir/2026/ir_20260520.pdf?la=ja-JP,決算説明資料,2026-05-20,ESR 270% as of 2026.3末. Target capital level 200%+. VaR 99.5% methodology.
ソニーフィナンシャルグループ,Sony Financial Group,8729,group,177,J-ICS,2026-03-31,,,20.78,,-12,https://www.sonyfg.co.jp/ja/financial_info/results/sfgi_fy2025_4q_01.pdf,決算説明資料,2026-05-14,"ESR 177% as of 2026.3末 (FY2025末), -12pp yoy. Total assets 20兆7,755億円. Source: FY2025 earnings presentation."
第一生命ホールディングス,Dai-ichi Life Holdings,8750,group,213,J-ICS,2025-12-31,,,,,3,https://www.daiichilife-group.com/investor/library/presentation/pdf/2025_third_phone.pdf,決算報告,2026-02-13,Q3 ESR 213% as of 2025.12末 (+3pp vs 2025.3末 210%). 2026.3末 annual figure not yet confirmed in search. Projected 170-200% range under new J-ICS basis per 2024.2 IR presentation.
T&Dホールディングス,T&D Holdings,8795,group,,J-ICS,2026-03-31,,,,,,https://www.td-holdings.co.jp/ir/document/results.php,IR資料室,2026-05-15,"ESR % not found in web search. Group EV 42,386億円 disclosed for 2026.3末. Need direct IR PDF access. Group adjusted profit 1,585億円."
かんぽ生命保険,Japan Post Insurance,7181,group,,J-ICS,2026-03-31,,,,,,https://pdf.irpocket.com/C7181/fcDL/shwf/kVj1.pdf,決算経営説明会資料,2026-05-29,Provisional ESR published (audit pending as of May 2026). Specific % not extractable from web search. Solvency Margin Ratio 831.8% as of Dec 2025. ESR calculation aligned to new regulation.
日本生命保険,Nippon Life Insurance,,solo,224,J-ICS_preliminary,2025-03-31,,,,200-270%,,https://www.nissay.co.jp/kaisha/annai/gyoseki/pdf/kessan202505/gaiyo.pdf,決算概要,2025-05-23,FY2024末 (2025.3末) ESR 224%. Target range 200-270% for FY2026末. 2026.3末 figure not yet found. Non-listed mutual company; does NOT file via EDINET.
住友生命保険,Sumitomo Life Insurance,,solo,184,J-ICS_preliminary,2025-09-30,,,,,6,https://www.sumitomolife.co.jp/about/pdf/company/ir/settlement/260526.pdf,決算説明資料,2026-05-26,"H1 FY2025 (Sep 2025) ESR 184%, +6pp yoy. FY2025末 (2026.3末) figure not confirmed. EEV also disclosed. Non-listed mutual; no EDINET."
明治安田生命保険,Meiji Yasuda Life Insurance,,solo,216,J-ICS_preliminary,2025-03-31,,,,,-4,https://www.meijiyasuda.co.jp/profile/corporate_info/disclosure/data/myinfo-2025/ld/detail/02-01-kenzen.html,ディスクロージャー,2025,"FY2024末 (2025.3末) ESR 216% (-4pp, prior year 220%). FY2025末 (2026.3末) figure not confirmed. Model revised for new regulation. Non-listed mutual; no EDINET."
富国生命保険,Fukoku Life Insurance,,solo,260.9,J-ICS_preliminary,2025-09-30,,,,,,https://www.fukoku-life.co.jp/about/finance/health/,健全性指標,2025,H1 FY2025 (Sep 2025) ESR 260.9%. FY2025末 figure not confirmed. Non-listed.
