company_jp,company_en,ticker,sector,category,edinet_code,edinet_eligible,parent_group,ir_url,ir_health_url,notes
東京海上ホールディングス,Tokio Marine Holdings,8766,損保,HD上場,E05026,yes,,https://www.tokiomarinehd.com/ir/,https://www.tokiomarinehd.com/ir/financial/highlight/,
東京海上日動火災保険,Tokio Marine & Nichido Fire,,,損保子会社,E03823,yes,東京海上HD,https://www.tokiomarine-nichido.co.jp/ir/,,,社債発行→有報義務
日新火災海上保険,Nisshin Fire & Marine,,損保,子会社,E03829,yes,東京海上HD,https://irbank.net/E03829,,東京海上HD 子会社
東京海上日動あんしん生命保険,Tokio Marine & Nichido Life,,生保,子会社,TBD,tbd,東京海上HD,https://www.tmn-anshin.co.jp/,,
MS&ADインシュアランスグループHD,MS&AD Insurance Group Holdings,8725,損保,HD上場,E14905,yes,,https://www.ms-ad-hd.com/ja/ir/,,
三井住友海上火災保険,Mitsui Sumitomo Insurance,,損保,子会社,E03824,yes,MS&AD,https://www.ms-ad-hd.com/ja/ir/library/securities/msi.html,,社債発行→有報義務
あいおいニッセイ同和損害保険,Aioi Nissay Dowa Insurance,8761,損保,子会社上場,E03833,yes,MS&AD,https://irbank.net/E03833,,2027年 三井住友海上と合併予定
三井住友海上あいおい生命保険,MSA Life Insurance,,生保,子会社,TBD,tbd,MS&AD,https://www.msa-life.co.jp/,,
三井住友海上プライマリー生命保険,MS Primary Life,,生保,子会社,TBD,tbd,MS&AD,https://www.msp-life.co.jp/,,
SOMPOホールディングス,Sompo Holdings,8630,損保,HD上場,E04979,yes,,https://www.sompo-hd.com/ir/,,
損害保険ジャパン,Sompo Japan Insurance,,損保,子会社,E03827,yes,Sompo,https://www.sompo-japan.co.jp/,,社債発行→有報義務
SOMPOひまわり生命保険,Sompo Himawari Life,,生保,子会社,TBD,tbd,Sompo,https://www.sompo-himawari.co.jp/,,
