stamp,RED,YELLOW,GREEN,SKIP,ERROR,findings,buckets,source
20260616T003835Z,24,512,4290,1600,0,6426,459,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T003854Z,24,512,4290,1600,0,6426,459,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T004213Z,19,512,4290,1605,0,6426,459,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T004249Z,19,512,4290,1605,0,6426,459,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T005216Z,19,512,4290,1605,0,6426,459,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T010312Z,19,514,4298,1609,0,6440,460,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T011302Z,19,514,4298,1609,0,6440,460,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T051404Z,24,530,4375,1665,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T055058Z,24,530,4375,1665,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T070110Z,24,530,4375,1665,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T121358Z,24,530,4375,1665,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260616T124502Z,24,530,4375,1665,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260617T000458Z,24,532,4390,1648,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260619T040935Z,24,532,4390,1648,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260619T044746Z,5,529,4440,1620,0,6594,471,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260620T024722Z,1,537,4456,1628,0,6622,473,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
20260620T030458Z,1,537,4456,1628,0,6622,473,C:\Users\sangwook.cho\Desktop\insurequant\kics_disclosure.json
