대조 셀 4,502  |  불일치 182  |  raw없음 0 (회사,분기)  앵커불가 21

회사            분기        item 열                   저장         원문환산       차이  원문(백만원)
롯데손해보험        2023.2Q     36 값_적용후         2,083.53         0.00 +2083.53  0
롯데손해보험        2023.2Q     37 값_적용후         8,151.53         0.00 +8151.53  0
롯데손해보험        2023.2Q     38 값_적용후           353.91         0.00  +353.91  0
롯데손해보험        2023.2Q     39 값_적용후           905.91         0.00  +905.91  0
롯데손해보험        2023.2Q     40 값_적용후           110.37         0.00  +110.37  0
롯데손해보험        2023.3Q     36 값_적용후         1,854.03         0.00 +1854.03  0
롯데손해보험        2023.3Q     37 값_적용후         7,339.84         0.00 +7339.84  0
롯데손해보험        2023.3Q     38 값_적용후           353.96         0.00  +353.96  0
롯데손해보험        2023.3Q     39 값_적용후           993.55         0.00  +993.55  0
롯데손해보험        2023.3Q     40 값_적용후           223.34         0.00  +223.34  0
롯데손해보험        2023.4Q     36 값_적용후         2,332.74         0.00 +2332.74  0
롯데손해보험        2023.4Q     37 값_적용후         7,640.14         0.00 +7640.14  0
롯데손해보험        2023.4Q     38 값_적용후           425.94         0.00  +425.94  0
롯데손해보험        2023.4Q     39 값_적용후         2,155.85         0.00 +2155.85  0
롯데손해보험        2023.4Q     40 값_적용후            98.60         0.00   +98.60  0
롯데손해보험        2024.1Q     36 값_적용후         2,228.90         0.00 +2228.90  0
롯데손해보험        2024.1Q     37 값_적용후         8,915.84         0.00 +8915.84  0
롯데손해보험        2024.1Q     38 값_적용후           426.44         0.00  +426.44  0
롯데손해보험        2024.1Q     39 값_적용후         1,917.93         0.00 +1917.93  0
롯데손해보험        2024.1Q     40 값_적용후           150.58         0.00  +150.58  0
롯데손해보험        2024.2Q     36 값_적용후         2,476.68         0.00 +2476.68  0
롯데손해보험        2024.2Q     37 값_적용후         8,440.31         0.00 +8440.31  0
롯데손해보험        2024.2Q     38 값_적용후           752.23         0.00  +752.23  0
롯데손해보험        2024.2Q     39 값_적용후         1,024.37         0.00 +1024.37  0
롯데손해보험        2024.2Q     40 값_적용후            48.68         0.00   +48.68  0
롯데손해보험        2024.3Q     36 값_적용후         2,470.21         0.00 +2470.21  0
롯데손해보험        2024.3Q     37 값_적용후         7,288.51         0.00 +7288.51  0
롯데손해보험        2024.3Q     38 값_적용후           777.14         0.00  +777.14  0
롯데손해보험        2024.3Q     39 값_적용후           964.08         0.00  +964.08  0
롯데손해보험        2024.3Q     40 값_적용후            44.15         0.00   +44.15  0
롯데손해보험        2024.4Q     36 값_적용후         2,230.79         0.00 +2230.79  0
롯데손해보험        2024.4Q     37 값_적용후         6,961.00         0.00 +6961.00  0
롯데손해보험        2024.4Q     38 값_적용후           429.98         0.00  +429.98  0
롯데손해보험        2024.4Q     39 값_적용후         2,836.86         0.00 +2836.86  0
롯데손해보험        2025.1Q     36 값_적용후         2,645.10         0.00 +2645.10  0
롯데손해보험        2025.1Q     37 값_적용후         6,702.75         0.00 +6702.75  0
롯데손해보험        2025.1Q     38 값_적용후           430.82         0.00  +430.82  0
롯데손해보험        2025.1Q     39 값_적용후         2,715.08         0.00 +2715.08  0
롯데손해보험        2025.2Q     36 값_적용후         1,996.80         0.00 +1996.80  0
롯데손해보험        2025.2Q     37 값_적용후         6,432.33         0.00 +6432.33  0
롯데손해보험        2025.2Q     38 값_적용후           423.14         0.00  +423.14  0
롯데손해보험        2025.2Q     39 값_적용후         2,184.12         0.00 +2184.12  0
롯데손해보험        2025.3Q     36 값_적용후         1,367.77         0.00 +1367.77  0
롯데손해보험        2025.3Q     37 값_적용후         6,190.90         0.00 +6190.90  0
롯데손해보험        2025.3Q     38 값_적용후           409.32         0.00  +409.32  0
롯데손해보험        2025.3Q     39 값_적용후         2,371.07         0.00 +2371.07  0
롯데손해보험        2025.4Q     36 값_적용후         1,187.87         0.00 +1187.87  0
롯데손해보험        2025.4Q     37 값_적용후         6,023.75         0.00 +6023.75  0
롯데손해보험        2025.4Q     38 값_적용후           349.64         0.00  +349.64  0
롯데손해보험        2025.4Q     39 값_적용후         1,654.22         0.00 +1654.22  0
롯데손해보험        2026.1Q     36 값_적용후         1,295.10         0.00 +1295.10  0
롯데손해보험        2026.1Q     37 값_적용후         6,250.60         0.00 +6250.60  0
롯데손해보험        2026.1Q     38 값_적용후           349.64         0.00  +349.64  0
롯데손해보험        2026.1Q     39 값_적용후         1,456.52         0.00 +1456.52  0
흥국화재          2023.1Q     36 값_적용후         2,726.22     4,543.70 -1817.48  454,370
흥국화재          2023.1Q     37 값_적용후         3,112.29     3,112.25    +0.04  311,225
흥국화재          2023.1Q     38 값_적용후         1,068.71     1,068.70    +0.01  106,870
흥국화재          2023.1Q     39 값_적용후           574.70       574.69    +0.01  57,469
흥국화재          2023.3Q     37 값_적용후         2,549.48     2,549.50    -0.02  254,950
흥국화재          2023.3Q     38 값_적용후         1,065.15     1,065.16    -0.01  106,516
흥국화재          2024.1Q     37 값_적용후         2,675.33     2,675.35    -0.02  267,535
흥국화재          2024.1Q     38 값_적용후         1,065.06     1,065.07    -0.01  106,507
흥국화재          2024.1Q     39 값_적용후           795.74       795.75    -0.01  79,575
흥국화재          2024.2Q     36 값_적용후           753.04       753.03    +0.01  75,303
흥국화재          2024.2Q     37 값_적용후         1,225.52     1,225.51    +0.01  122,551
흥국화재          2024.2Q     38 값_적용후         1,262.80     1,262.79    +0.01  126,279
흥국화재          2024.3Q     37 값_적용후         1,065.95     1,065.94    +0.01  106,594
흥국화재          2024.3Q     38 값_적용후         1,224.96     1,224.95    +0.01  122,495
흥국화재          2025.1Q     36 값_적용후           436.93       436.92    +0.01  43,692
흥국화재          2025.1Q     37 값_적용후         2,400.72     2,400.69    +0.03  240,069
흥국화재          2025.1Q     38 값_적용후         1,035.08     1,035.06    +0.02  103,506
흥국화재          2025.1Q     39 값_적용후           481.33       481.32    +0.01  48,132
