테이블,회사,분기,항목,유형,상세,검토 의견,,,,,
CSM워터폴,AIG손해보험,2025.4Q,기초 CSM,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
CSM워터폴,AIG손해보험,2025.4Q,신계약 CSM,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
CSM워터폴,AIG손해보험,2025.4Q,이자 부리,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
CSM워터폴,AIG손해보험,2025.4Q,가정 및 경험 조정,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
CSM워터폴,AIG손해보험,2025.4Q,CSM 상각,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
CSM워터폴,AIG손해보험,2025.4Q,기말 CSM,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
CSM워터폴,하나손해보험,2024.4Q,이자 부리,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),입력함,,,,,
K-ICS공시,KB손해보험,2025.4Q,2. 자본항목 중 보통주 이외의 자본증권,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),0 맞다.,,,,,
K-ICS공시,KB손해보험,2025.4Q,4. 자본조정,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),0 맞다,,,,,
K-ICS공시,미래에셋생명보험,2025.4Q,2. 자본항목 중 보통주 이외의 자본증권,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),0 맞다,,,,,
K-ICS공시,미래에셋생명보험,2025.4Q,6. 비지배지분,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),0 맞다,,,,,
K-ICS공시,미래에셋생명보험,2025.4Q,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),0 맞다,,,,,
K-ICS공시,삼성생명보험,2023.4Q,6. 비지배지분,EMPTY,값=비어있음(타분기는 채워짐 → 실제 갭),0 맞다,,,,,
K-ICS공시,동양생명,2023.2Q,MISSING_FILER_CELL,RED,regular filer 동양생명 (KR0087) missing in 2023.2Q (expected by census grid),23.3Q 이전 오류는 패스,,,,,
K-ICS공시,미래에셋생명보험,2023.2Q,KICS_8_life,RED,K-ICS rule 8_life:  (expected=16127.595013342812 actual=17495.0 diff=1367.4049866571877),23.3Q 이전 오류는 패스,,,,,
K-ICS공시,에이아이에이생명보험,2025.1Q,KICS_2,RED,K-ICS rule 2:  (expected=32933.0 actual=32144.0 diff=-789.0),32114 로 수정. (expected 숫자도 틀렸다),,,,,
K-ICS공시,에이아이에이생명보험,2025.4Q,KICS_19_market,RED,K-ICS rule 19_market:  (expected=7459.886520875435 actual=8150.0 diff=690.113479124565),"주식위험액, 외환위험액 숫자를 수정",,,,,
K-ICS공시,카카오페이손해보험,2023.4Q,MISSING_FILER_CELL,RED,regular filer 카카오페이손해보험 (KR1098) missing in 2023.4Q (expected by census grid),채움,,,,,
K-ICS공시,카카오페이손해보험,2024.2Q,MISSING_FILER_CELL,RED,regular filer 카카오페이손해보험 (KR1098) missing in 2024.2Q (expected by census grid),채움,,,,,
K-ICS공시,카카오페이손해보험,2024.3Q,MISSING_FILER_CELL,RED,regular filer 카카오페이손해보험 (KR1098) missing in 2024.3Q (expected by census grid),채움,,,,,
K-ICS공시,카카오페이손해보험,2024.4Q,MISSING_FILER_CELL,RED,regular filer 카카오페이손해보험 (KR1098) missing in 2024.4Q (expected by census grid),채움,,,,,
K-ICS공시,카카오페이손해보험,2025.3Q,KICS_6,RED,K-ICS rule 6: missing items for rule 6 (expected=None actual=None diff=None),"21번 항목 0으로 수정, 16번 항목도 추가",,,,,
K-ICS공시,하나생명보험,2024.2Q,MISSING_FILER_CELL,RED,regular filer 하나생명보험 (KR0097) missing in 2024.2Q (expected by census grid),채움,,,,,
K-ICS공시,한화생명,2025.2Q,KICS_19_market,RED,K-ICS rule 19_market:  (expected=56281.26448055738 actual=68001.0 diff=11719.73551944262),주식위험액 숫자 수정,,,,,
