분류,회사,분기,룰,조치,누가
A.범위밖,동양생명,2023.2Q,MISSING_FILER,네가 버린 2023.1~3Q. 게이트 census 좁히면 소멸,게이트조정
A.범위밖,미래에셋생명,2023.2Q,KICS_8_life,범위밖(2023.2Q),게이트조정
A.범위밖,하나생명,2024.2Q,MISSING_FILER,범위밖(중간분기),게이트조정
A.범위밖,카카오페이손해,2024.2Q,MISSING_FILER,범위밖(중간분기),게이트조정
A.범위밖,카카오페이손해,2024.3Q,MISSING_FILER,범위밖(중간분기),게이트조정
C.손수정,카카오페이손해,2025.3Q,KICS_6,item16(분산효과) 한칸 누락. 값=59 (=item17~21합278−item15 219),owner
C.손수정,에이아이에이생명,2025.1Q,KICS_2,"item5~11합 32933 ≠ item4 BS시가 32114, 819차이. item8·item9 둘다 819=하나 오파싱. AIA 가용자본명세 재확인",owner
D.OCR,동양생명,2026.1Q,T2_UTIL 240%,경과조치 면제표(기발행 신종/후순위) 미파싱. 표준공시 안보임→OCR(다운로더 발주됨),OCR
D.OCR,KB손해,2026.1Q,T2_UTIL 218%,동일(면제표 OCR),OCR
D.OCR,미래에셋생명,2026.1Q,T2_UTIL 126%,동일(면제표 OCR),OCR
D.스케일,신한이지손해,2026.1Q,T2_DENOM,보완자본 한도 2.68억=정답 268억의 1/100(SCR 536×50%). raw 확인되면 손수정 가능,owner/raw
