원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2025.1Q,132441,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2024.4Q,135165,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2024.3Q,142199,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2024.2Q,131911,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2024.1Q,131320,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2023.4Q,129498,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2023.3Q,132224,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2023.2Q,119095,,,,
KR0001,메리츠화재해상보험,60,손해보험,1,가. 지급여력금액,2023.1Q,115146,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2025.1Q,43264,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2024.4Q,47116,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2024.3Q,52450,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2024.2Q,48457,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2024.1Q,46682,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2023.4Q,46522,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2023.3Q,47136,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2023.2Q,41031,,,,
KR0001,메리츠화재해상보험,60,손해보험,2,기본자본,2023.1Q,36312,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2025.1Q,89177,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2024.4Q,88049,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2024.3Q,89749,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2024.2Q,83454,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2024.1Q,84638,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2023.4Q,82975,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2023.3Q,85088,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2023.2Q,78063,,,,
KR0001,메리츠화재해상보험,60,손해보험,3,보완자본,2023.1Q,78834,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2025.1Q,115453,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2024.4Q,124903,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2024.3Q,124415,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2024.2Q,122210,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2024.1Q,119173,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.4Q,123719,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.3Q,120294,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.2Q,107193,,,,
KR0001,메리츠화재해상보험,60,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,102196,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2025.1Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2024.4Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2024.3Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2024.2Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2024.1Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2023.4Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2023.3Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2023.2Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,5,1. 보통주,2023.1Q,1525,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2025.1Q,2837,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2024.4Q,2837,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2024.3Q,2837,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2024.2Q,2837,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2024.1Q,2837,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.4Q,2837,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.3Q,2850,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.2Q,2850,,,,
KR0001,메리츠화재해상보험,60,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,2850,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2025.1Q,54297,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2024.4Q,54804,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2024.3Q,52673,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2024.2Q,49189,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2024.1Q,44136,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2023.4Q,45592,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2023.3Q,42989,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2023.2Q,37999,,,,
KR0001,메리츠화재해상보험,60,손해보험,7,3. 이익잉여금,2023.1Q,33696,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2025.1Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2024.4Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2024.3Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2024.2Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2024.1Q,-80,,,,
KR0001,메리츠화재해상보험,60,손해보험,8,4. 자본조정,2023.4Q,-80,,,,
