company,code,quarter,scr_eok,tier1_hybrid_limit_eok,tier1_hybrid_limit_strict_eok,tier1_hybrid_issued_eok,tier1_hybrid_excess_eok,tier1_hybrid_recognized_eok,utilization_pct,utilization_pct_strict,data_source,quality_flag,issued_source,excess_source,legacy_hybrid_transition_eok
코리안리,KR1000,2025.4Q,22219.0,3332.85,2221.9,8082.0,,8082.0,242.5,363.74,md+json,excess_unknown_assumed_zero,bs_normal,missing,3291.97
NH농협손해보험,KR0032,2025.4Q,16039.0,2405.85,1603.9,4500.0,,4500.0,187.04,280.57,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
교보생명보험,KR0073,2025.4Q,85825.0,12873.75,8582.5,22057.0,0.0,22057.0,171.33,257.0,md+json,issued_above_15pct_but_no_disclosed_excess,bs_normal,detail_v1[백만원],11088.99
하나손해보험,KR0050,2025.4Q,4337.0,650.55,433.7,1000.0,,1000.0,153.72,230.57,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
한화생명,KR0068,2025.4Q,145388.0,21808.2,14538.8,30685.0,0.0,30685.0,140.7,211.06,md+json,issued_above_15pct_but_no_disclosed_excess,bs_transposed,detail_v1[억원],
흥국화재,KR0005,2025.4Q,19642.0,2946.3,1964.2,4113.0,,4113.0,139.6,209.4,md+json,excess_unknown_assumed_zero,bs_normal,missing,2120.0
케이디비생명보험,KR0072,2025.4Q,13581.0,2037.15,1358.1,2403.0,,2403.0,117.96,176.94,md+json,excess_unknown_assumed_zero,bs_normal,missing,
농협생명보험,KR0104,2025.4Q,30151.0,4522.65,3015.1,4999.0,,4999.0,110.53,165.8,md+json,excess_unknown_assumed_zero,bs_normal,missing,2500.0
아이엠라이프생명보험,KR0076,2025.4Q,6316.0,947.4,631.6,949.0,,949.0,100.17,150.25,md+json,excess_unknown_assumed_zero,bs_normal,missing,2465.98
하나생명보험,KR0097,2025.4Q,5936.0,890.4,593.6,1799.0,1205.17,593.83,66.69,100.04,md+json,ok,bs_normal,detail_v1[천원],0.0
DB손해보험,KR0011,2025.4Q,98764.0,14814.6,9876.4,8650.0,,8650.0,58.39,87.58,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
푸본현대생명보험,KR0083,2025.4Q,12909.0,1936.35,1290.9,998.0,0.0,998.0,51.54,77.31,md+json,ok,bs_normal,detail_v1[백만원],
한화손해보험,KR0002,2025.4Q,33787.0,5068.05,3378.7,2341.0,,2341.0,46.19,69.29,md+json,excess_unknown_assumed_zero,bs_normal,missing,2341.05
메리츠화재해상보험,KR0001,2025.4Q,55322.0,8298.3,5532.2,1792.0,,1792.0,21.59,32.39,md+json,excess_unknown_assumed_zero,bs_normal,missing,1791.95
케이비라이프생명보험,KR0099,2025.4Q,21572.0,3235.8,2157.2,498.0,,498.0,15.39,23.09,md+json,excess_unknown_assumed_zero,bs_normal,missing,498.0
롯데손해보험,KR0003,2025.4Q,20671.0,3100.65,2067.1,454.0,,454.0,14.64,21.96,md+json,excess_unknown_assumed_zero,bs_normal,missing,453.7
흥국생명보험,KR0071,2025.4Q,25032.0,3754.8,2503.2,496.0,,496.0,13.21,19.81,md+json,excess_unknown_assumed_zero,bs_normal,missing,496.5
삼성화재해상보험,KR0008,2025.4Q,111463.0,16719.45,11146.3,0.0,,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
현대해상,KR0009,2025.4Q,73408.0,11011.2,7340.8,0.0,,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
AIG손해보험,KR0029,2025.4Q,2508.0,376.2,250.8,0.0,,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
악사손해보험,KR0049,2025.4Q,2610.0,391.5,261.0,0.0,,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
신한이지손해보험,KR0051,2025.4Q,543.0,81.45,54.3,0.0,,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
삼성생명,KR0069,2025.4Q,332075.0,49811.25,33207.5,0.0,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,detail_v1[백만원],0.0
에이비엘생명보험,KR0070,2025.4Q,15606.0,2340.9,1560.6,0.0,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,detail_v1[천원],0.0
라이나생명보험,KR0074,2025.4Q,21044.0,3156.6,2104.4,0.0,,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
비엔피파리바카디프생명보험,KR0075,2025.4Q,801.0,120.15,80.1,0.0,,0.0,0.0,0.0,md+json,ok,bs_transposed,missing,0.0
DB생명보험,KR0082,2025.4Q,14419.0,2162.85,1441.9,0.0,0.0,0.0,0.0,0.0,md+json,ok,bs_transposed,detail_v1[백만원],0.0
