company,code,quarter,scr_eok,tier1_hybrid_limit_eok,tier1_hybrid_limit_strict_eok,tier1_hybrid_issued_eok,tier1_hybrid_excess_eok,tier1_hybrid_recognized_eok,tier1_hybrid_overflow_eok,utilization_pct,utilization_pct_strict,data_source,quality_flag,issued_source,excess_source,legacy_hybrid_transition_eok
하나손해보험,KR0050,2026.2Q,4677.0,701.55,467.7,1999.0,,1999.0,1297.45,284.94,427.41,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
코리안리재보험,KR1000,2026.2Q,23353.0,3502.95,2335.3,8082.0,,8082.0,4579.05,230.72,346.08,md+json,excess_unknown_assumed_zero,bs_normal,missing,3291.97
하나생명보험,KR0097,2026.2Q,7554.0,1133.1,755.4,1799.0,,1799.0,665.9,158.77,238.15,md+json,excess_unknown_assumed_zero,bs_normal,missing,
교보생명보험,KR0073,2026.2Q,105398.0,15809.7,10539.8,22057.0,,22057.0,6247.3,139.52,209.27,md+json,excess_unknown_assumed_zero,bs_normal,missing,11088.99
한화생명,KR0068,2026.2Q,150112.0,22516.8,15011.2,30685.0,,30685.0,8168.2,136.28,204.41,md+json,excess_unknown_assumed_zero,bs_normal,missing,
흥국화재,KR0005,2026.2Q,22654.0,3398.1,2265.4,4113.0,,4113.0,714.9,121.04,181.56,md+json,excess_unknown_assumed_zero,bs_normal,missing,2120.0
케이디비생명보험,KR0072,2026.2Q,15529.0,2329.35,1552.9,2403.0,,2403.0,73.65,103.16,154.74,md+json,excess_unknown_assumed_zero,bs_normal,missing,
DB손해보험,KR0011,2026.2Q,115099.0,17264.85,11509.9,17452.0,,17452.0,187.15,101.08,151.63,md+json,excess_unknown_assumed_zero,bs_normal,missing,0.0
농협생명보험,KR0104,2026.2Q,34395.0,5159.25,3439.5,4999.0,,4999.0,0.0,96.89,145.34,md+json,excess_unknown_assumed_zero,bs_normal,missing,2500.0
아이엠라이프생명보험,KR0076,2026.2Q,7414.0,1112.1,741.4,949.0,,949.0,0.0,85.33,128.0,md+json,excess_unknown_assumed_zero,bs_normal,missing,2465.98
한화손해보험,KR0002,2026.2Q,35597.0,5339.55,3559.7,2341.0,,2341.0,0.0,43.84,65.76,md+json,excess_unknown_assumed_zero,bs_normal,missing,2341.05
푸본현대생명보험,KR0083,2026.2Q,15426.0,2313.9,1542.6,998.0,,998.0,0.0,43.13,64.7,md+json,excess_unknown_assumed_zero,bs_normal,missing,
메리츠화재해상보험,KR0001,2026.2Q,63107.0,9466.05,6310.7,1792.0,,1792.0,0.0,18.93,28.4,md+json,excess_unknown_assumed_zero,bs_normal,missing,
케이비라이프생명보험,KR0099,2026.2Q,27172.0,4075.8,2717.2,498.0,,498.0,0.0,12.22,18.33,md+json,excess_unknown_assumed_zero,bs_normal,missing,498.0
흥국생명보험,KR0071,2026.2Q,28263.0,4239.45,2826.3,496.0,,496.0,0.0,11.7,17.55,md+json,excess_unknown_assumed_zero,bs_normal,missing,496.5
MG_예별손해보험,KR0004,2026.2Q,8613.0,1291.95,861.3,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
삼성화재해상보험,KR0008,2026.2Q,155555.0,23333.25,15555.5,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
현대해상,KR0009,2026.2Q,73335.0,11000.25,7333.5,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
KB손해보험,KR0010,2026.2Q,72187.0,10828.05,7218.7,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,
AIG손해보험,KR0029,2026.2Q,2780.0,417.0,278.0,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
악사손해보험,KR0049,2026.2Q,2539.0,380.85,253.9,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
신한이지손해보험,KR0051,2026.2Q,524.0,78.6,52.4,0.0,,0.0,0.0,0.0,0.0,md+json,ok,bs_normal,missing,0.0
