company,code,quarter,tier2_limit_eok,numerator_eok,utilization_pct,data_source,tier2_eok,pre_limit_eok,lapse_excess_eok,hybrid_eok,subordinated_eok,proxy_utilization_pct,quality_flag
동양생명,KR0087,2026.1Q,11463.0,27537.0,240.23,proxy,27537.0,,,,,240.23,util_over_100
하나손해보험,KR0050,2026.1Q,2313.23,5434.06,234.91,table,5434.06,,,0.0,0.0,234.94,util_over_100
KB손해보험,KR0010,2026.1Q,33319.0,72777.0,218.42,proxy,72777.0,,,,,218.42,util_over_100
악사손해보험,KR0049,2026.1Q,1338.51,2633.88,196.78,table,2633.88,,,,,196.78,util_over_100
미래에셋생명보험,KR0079,2026.1Q,11093.5,14028.0,126.45,proxy,14028.0,,,,,126.45,util_over_100
케이디비생명보험,KR0072,2026.1Q,7082.79,6604.48,93.25,table,14124.87,6604.48,7520.4,0.0,0.0,93.24,pre_limit_minus_hybrid_sub
NH농협손해보험,KR0032,2026.1Q,7774.25,6886.69,88.58,table,13120.04,6886.69,5303.83,0.0,929.51,88.04,pre_limit_already_netted
IBK연금보험,KR1011,2026.1Q,3597.92,2800.56,77.84,table,7812.77,2800.56,3407.42,0.0,1604.79,55.39,table_proxy_diverge
에이비엘생명보험,KR0070,2026.1Q,8252.0,6288.67,76.21,table,11339.8,6288.67,4414.5,0.0,636.63,76.21,pre_limit_already_netted
현대해상,KR0009,2026.1Q,34995.12,26115.52,74.63,table,92586.3,26115.52,62705.17,,3765.61,74.63,pre_limit_already_netted
한화생명,KR0068,2026.1Q,74146.79,52650.41,71.01,table,153222.21,153222.21,82866.66,0.0,17705.14,71.01,ok
아이엠라이프생명보험,KR0076,2026.1Q,3262.38,2136.94,65.5,table,8172.0,2136.94,4048.07,2465.98,499.72,9.08,table_proxy_diverge
롯데손해보험,KR0003,2026.1Q,10335.34,5801.18,56.13,table,29479.93,5801.18,21567.39,,2111.36,56.79,pre_limit_already_netted
에이아이에이생명보험,KR0080,2026.1Q,7675.0,4279.0,55.75,proxy,4279.0,,,,,55.75,no_table
흥국화재,KR0005,2026.1Q,10514.51,5198.67,49.44,table,26234.33,5198.67,20844.1,2120.0,191.56,49.44,pre_limit_residual
코리안리재보험,KR1000,2026.1Q,11447.59,4844.26,42.32,table,9239.04,8136.23,1102.82,3291.97,0.0,71.07,table_proxy_diverge
삼성생명보험,KR0069,2026.1Q,196321.78,77577.97,39.52,table,158098.56,77577.97,80520.58,0.0,0.0,39.52,pre_limit_minus_hybrid_sub
푸본현대생명보험,KR0083,2026.1Q,6962.6,2611.17,37.5,table,10009.99,6510.58,0.0,400.0,3499.41,44.0,table_proxy_diverge
DB손해보험,KR0011,2026.1Q,49332.77,18362.79,37.22,table,138141.69,18362.79,114315.5,0.0,5463.4,37.22,pre_limit_already_netted
DB생명보험,KR0082,2026.1Q,7437.55,2692.57,36.2,table,19871.03,2692.57,17178.46,0.0,3135.91,36.2,pre_limit_lapse_netted
신한라이프생명보험,KR0094,2026.1Q,25124.1,8711.9,34.68,table,52864.63,8711.9,44152.74,0.0,0.0,34.68,pre_limit_minus_hybrid_sub
비엔피파리바카디프생명보험,KR0075,2026.1Q,441.05,71.51,16.21,table,226.41,226.41,154.9,0.0,0.0,16.12,ok
처브라이프생명보험,KR0100,2026.1Q,646.5,97.13,15.02,table,1574.58,97.13,1477.46,,,15.02,pre_limit_minus_hybrid_sub
흥국생명보험,KR0071,2026.1Q,13411.07,1501.81,11.2,table,20719.5,1501.81,15056.0,496.5,4161.69,11.2,pre_limit_residual
농협생명보험,KR0104,2026.1Q,16417.5,456.29,2.78,table,456.29,,,,,285.76,table_proxy_diverge
삼성화재해상보험,KR0008,2026.1Q,60988.0,1072.14,1.76,table,1072.14,,,,,171.19,table_proxy_diverge
KB라이프생명,KR0099,2026.1Q,12037.5,204.31,1.7,table,204.31,,,,,191.66,table_proxy_diverge
교보생명보험,KR0073,2026.1Q,46181.0,711.6,1.54,table,711.6,,,,,177.51,table_proxy_diverge
하나생명보험,KR0097,2026.1Q,3205.5,40.79,1.27,table,40.79,,,,,232.79,table_proxy_diverge
서울보증보험,KR0150,2026.1Q,7075.62,46.38,0.66,table,46.38,46.38,0.0,0.0,0.0,0.65,ok
한화손해보험,KR0002,2026.1Q,16972.01,96.24,0.57,table,38121.91,96.24,27432.16,2341.05,10593.5,0.57,pre_limit_residual
교보라이프플래닛생명보험,KR1010,2026.1Q,360.5,1.5,0.42,table,1.5,,,,,115.12,table_proxy_diverge
메리츠화재해상보험,KR0001,2026.1Q,28892.4,81.37,0.28,table,88412.71,81.37,70577.46,1791.95,17753.87,0.28,pre_limit_residual
예별손해보험,KR0004,2026.1Q,4158.49,1.62,0.04,table,1.62,1.62,0.0,0.0,0.0,0.05,ok
AIG손해보험,KR0029,2026.1Q,1227.37,0.0,0.0,table,0.0,0.0,0.0,0.0,0.0,0.0,ok
신한이지손해보험,KR0051,2026.1Q,2.68,0.0,0.0,table,0.17,0.17,0.17,0.0,0.0,6.28,table_proxy_diverge
라이나생명보험,KR0074,2026.1Q,10529.71,0.0,0.0,table,20467.59,0.0,20467.59,0.0,0.0,0.0,pre_limit_minus_hybrid_sub
메트라이프생명보험,KR0095,2026.1Q,9485.87,0.0,0.0,table,20913.55,0.0,20913.55,0.0,0.0,0.0,pre_limit_minus_hybrid_sub
카카오페이손해보험,KR1098,2026.1Q,202.16,0.0,0.0,table,0.0,0.0,0.0,0.0,0.0,0.0,ok
