원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,섹션,레벨,공시분기,값
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2023.1Q,34036356.02922
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2023.2Q,35574272.946589
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2023.3Q,35812118.533129
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2023.4Q,39403862.443763
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2024.1Q,39273881.010051
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2024.2Q,40579833.89354
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2024.3Q,43019407.119973
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2024.4Q,43358482.458819
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2025.1Q,44426134.909558
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2025.2Q,44466739.671615
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2025.3Q,44532796.285194
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2025.4Q,44242792.244563
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2026.1Q,43115899.748228
KR0001,메리츠화재해상보험,000060,손해보험,1,자산총계,자산,1,2026.2Q,43134931.607073
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2023.1Q,30274482.845662
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2023.2Q,31288542.202086
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2023.3Q,30545017.022144
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2023.4Q,33931288.79078
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2024.1Q,34426440.643039
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2024.2Q,35308336.870151
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2024.3Q,37488673.170045
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2024.4Q,37618396.153772
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2025.1Q,39173541.920856
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2025.2Q,38752729.105954
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2025.3Q,38937420.158409
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2025.4Q,38388473.445768
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2026.1Q,37264179.477233
KR0001,메리츠화재해상보험,000060,손해보험,2,부채총계,부채,1,2026.2Q,36457508.742668
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2023.1Q,3761873.183558
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2023.2Q,4285730.744503
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2023.3Q,5267101.510985
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2023.4Q,5472573.652983
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2024.1Q,4847440.367012
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2024.2Q,5271497.023389
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2024.3Q,5530733.949928
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2024.4Q,5740086.305047
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2025.1Q,5252592.988702
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2025.2Q,5714010.565661
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2025.3Q,5595376.126785
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2025.4Q,5854318.798795
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2026.1Q,5851720.270995
KR0001,메리츠화재해상보험,000060,손해보험,3,자본총계,자본,1,2026.2Q,6677422.864405
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2023.1Q,-39799.228691
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2023.2Q,52157.353633
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2023.3Q,542744.589286
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2023.4Q,479733.856213
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2024.1Q,675.847128
KR0001,메리츠화재해상보험,000060,손해보험,4,기타포괄손익 누계액,자본,2,2024.2Q,-80817.805029
