원보험사코드,원수사명,티커,생손보여부,공시분기,경과차년,상각액
KR0082,DB생명보험,X,생명보험,annual (filings skim),1,590.3
KR0082,DB생명보험,X,생명보험,annual (filings skim),2,498.1
KR0082,DB생명보험,X,생명보험,annual (filings skim),3,432.3
KR0082,DB생명보험,X,생명보험,annual (filings skim),4,395.2
KR0082,DB생명보험,X,생명보험,annual (filings skim),5,382.6
KR0082,DB생명보험,X,생명보험,annual (filings skim),6,358.0
KR0082,DB생명보험,X,생명보험,annual (filings skim),7,361.8
KR0082,DB생명보험,X,생명보험,annual (filings skim),8,372.7
KR0082,DB생명보험,X,생명보험,annual (filings skim),9,386.0
KR0082,DB생명보험,X,생명보험,annual (filings skim),10,391.7
KR0011,DB손해보험,005830,손해보험,annual (filings skim),1,7757.2
KR0011,DB손해보험,005830,손해보험,annual (filings skim),2,6656.5
KR0011,DB손해보험,005830,손해보험,annual (filings skim),3,5749.6
KR0011,DB손해보험,005830,손해보험,annual (filings skim),4,5043.0
KR0011,DB손해보험,005830,손해보험,annual (filings skim),5,4587.2
KR0011,DB손해보험,005830,손해보험,annual (filings skim),6,4224.4
KR0011,DB손해보험,005830,손해보험,annual (filings skim),7,3998.8
KR0011,DB손해보험,005830,손해보험,annual (filings skim),8,3789.2
KR0011,DB손해보험,005830,손해보험,annual (filings skim),9,3594.1
KR0011,DB손해보험,005830,손해보험,annual (filings skim),10,3437.7
KR0010,KB손해보험,002550,손해보험,annual (filings skim),1,5019.5
KR0010,KB손해보험,002550,손해보험,annual (filings skim),2,4425.4
KR0010,KB손해보험,002550,손해보험,annual (filings skim),3,3832.2
KR0010,KB손해보험,002550,손해보험,annual (filings skim),4,3415.9
KR0010,KB손해보험,002550,손해보험,annual (filings skim),5,3060.0
KR0010,KB손해보험,002550,손해보험,annual (filings skim),6,2796.9
KR0010,KB손해보험,002550,손해보험,annual (filings skim),7,2622.3
KR0010,KB손해보험,002550,손해보험,annual (filings skim),8,2479.9
KR0010,KB손해보험,002550,손해보험,annual (filings skim),9,2356.0
KR0010,KB손해보험,002550,손해보험,annual (filings skim),10,2244.0
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),1,1233.3
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),2,1084.8
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),3,962.9
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),4,844.3
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),5,709.2
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),6,601.1
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),7,519.6
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),8,455.4
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),9,397.4
KR0032,NH농협손해보험,X,손해보험,annual (filings skim),10,351.3
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),1,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),2,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),3,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),4,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),5,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),6,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),7,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),8,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),9,
KR1010,교보라이프플래닛생명보험,X,생명보험,annual (filings skim),10,
KR0073,교보생명보험,X,생명보험,annual (filings skim),1,3758.1
KR0073,교보생명보험,X,생명보험,annual (filings skim),2,3396.8
KR0073,교보생명보험,X,생명보험,annual (filings skim),3,3177.8
KR0073,교보생명보험,X,생명보험,annual (filings skim),4,2973.9
KR0073,교보생명보험,X,생명보험,annual (filings skim),5,2868.3
KR0073,교보생명보험,X,생명보험,annual (filings skim),6,2725.0
KR0073,교보생명보험,X,생명보험,annual (filings skim),7,2575.0
KR0073,교보생명보험,X,생명보험,annual (filings skim),8,2449.4
KR0073,교보생명보험,X,생명보험,annual (filings skim),9,2338.0
KR0073,교보생명보험,X,생명보험,annual (filings skim),10,2244.6
KR0104,농협생명보험,X,생명보험,annual (filings skim),1,2212.2
KR0104,농협생명보험,X,생명보험,annual (filings skim),2,2059.4
KR0104,농협생명보험,X,생명보험,annual (filings skim),3,1938.4
KR0104,농협생명보험,X,생명보험,annual (filings skim),4,1823.9
KR0104,농협생명보험,X,생명보험,annual (filings skim),5,1721.6
KR0104,농협생명보험,X,생명보험,annual (filings skim),6,1628.7
KR0104,농협생명보험,X,생명보험,annual (filings skim),7,1552.6
KR0104,농협생명보험,X,생명보험,annual (filings skim),8,1483.6
KR0104,농협생명보험,X,생명보험,annual (filings skim),9,1395.1
KR0104,농협생명보험,X,생명보험,annual (filings skim),10,1302.0
KR0087,동양생명,082640,생명보험,annual (filings skim),1,1395.4
KR0087,동양생명,082640,생명보험,annual (filings skim),2,1243.8
KR0087,동양생명,082640,생명보험,annual (filings skim),3,1093.0
KR0087,동양생명,082640,생명보험,annual (filings skim),4,989.2
KR0087,동양생명,082640,생명보험,annual (filings skim),5,917.6
KR0087,동양생명,082640,생명보험,annual (filings skim),6,852.6
KR0087,동양생명,082640,생명보험,annual (filings skim),7,791.1
KR0087,동양생명,082640,생명보험,annual (filings skim),8,748.3
KR0087,동양생명,082640,생명보험,annual (filings skim),9,712.6
KR0087,동양생명,082640,생명보험,annual (filings skim),10,669.6
KR0074,라이나생명보험,X,생명보험,annual (filings skim),1,2428.2
KR0074,라이나생명보험,X,생명보험,annual (filings skim),2,2149.7
KR0074,라이나생명보험,X,생명보험,annual (filings skim),3,1927.3
KR0074,라이나생명보험,X,생명보험,annual (filings skim),4,1727.2
KR0074,라이나생명보험,X,생명보험,annual (filings skim),5,1553.0
KR0074,라이나생명보험,X,생명보험,annual (filings skim),6,1411.5
KR0074,라이나생명보험,X,생명보험,annual (filings skim),7,1279.1
KR0074,라이나생명보험,X,생명보험,annual (filings skim),8,1163.2
KR0074,라이나생명보험,X,생명보험,annual (filings skim),9,
KR0074,라이나생명보험,X,생명보험,annual (filings skim),10,
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),1,1378.6
KR0003,롯데손해보험,000400,손해보험,annual (filings skim),2,1297.8
