원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,값_당분기
KR0001,메리츠화재해상보험,000060,손해보험,1,기초 CSM,2023.1Q,100383.8,100383.8
KR0001,메리츠화재해상보험,000060,손해보험,2,신계약 CSM,2023.1Q,4282.7,4282.7
KR0001,메리츠화재해상보험,000060,손해보험,3,이자 부리,2023.1Q,708.4,708.4
KR0001,메리츠화재해상보험,000060,손해보험,4,가정 및 경험 조정,2023.1Q,-2595.6,-2595.6
KR0001,메리츠화재해상보험,000060,손해보험,5,CSM 상각,2023.1Q,-2745.8,-2745.8
KR0001,메리츠화재해상보험,000060,손해보험,6,기말 CSM,2023.1Q,100033.5,100033.5
KR0001,메리츠화재해상보험,000060,손해보험,1,기초 CSM,2023.2Q,100383.8,100033.5
KR0001,메리츠화재해상보험,000060,손해보험,2,신계약 CSM,2023.2Q,8242.9,3960.2
KR0001,메리츠화재해상보험,000060,손해보험,3,이자 부리,2023.2Q,1457.6,749.2
KR0001,메리츠화재해상보험,000060,손해보험,4,가정 및 경험 조정,2023.2Q,-3871.7,-1276.1
KR0001,메리츠화재해상보험,000060,손해보험,5,CSM 상각,2023.2Q,-5528.3,-2782.5
KR0001,메리츠화재해상보험,000060,손해보험,6,기말 CSM,2023.2Q,100684.2,100684.2
KR0001,메리츠화재해상보험,000060,손해보험,1,기초 CSM,2023.3Q,100383.8,100684.2
KR0001,메리츠화재해상보험,000060,손해보험,2,신계약 CSM,2023.3Q,12346.8,4103.9
KR0001,메리츠화재해상보험,000060,손해보험,3,이자 부리,2023.3Q,2236.9,779.3
KR0001,메리츠화재해상보험,000060,손해보험,4,가정 및 경험 조정,2023.3Q,198.6,4070.3
KR0001,메리츠화재해상보험,000060,손해보험,5,CSM 상각,2023.3Q,-8379.7,-2851.4
KR0001,메리츠화재해상보험,000060,손해보험,6,기말 CSM,2023.3Q,106786.4,106786.4
KR0001,메리츠화재해상보험,000060,손해보험,1,기초 CSM,2023.4Q,96376.4,106786.4
KR0001,메리츠화재해상보험,000060,손해보험,2,신계약 CSM,2023.4Q,16006.5,3659.7
KR0001,메리츠화재해상보험,000060,손해보험,3,이자 부리,2023.4Q,2980.3,743.4
KR0001,메리츠화재해상보험,000060,손해보험,4,가정 및 경험 조정,2023.4Q,21.6,-177.0
KR0001,메리츠화재해상보험,000060,손해보험,5,CSM 상각,2023.4Q,-10697.6,-2317.9
KR0001,메리츠화재해상보험,000060,손해보험,6,기말 CSM,2023.4Q,104687.3,104687.3
KR0001,메리츠화재해상보험,000060,손해보험,1,기초 CSM,2024.1Q,104687.3,104687.3
KR0001,메리츠화재해상보험,000060,손해보험,2,신계약 CSM,2024.1Q,3722.7,3722.7
KR0001,메리츠화재해상보험,000060,손해보험,3,이자 부리,2024.1Q,829.8,829.8
KR0001,메리츠화재해상보험,000060,손해보험,4,가정 및 경험 조정,2024.1Q,1077.4,1077.4
KR0001,메리츠화재해상보험,000060,손해보험,5,CSM 상각,2024.1Q,-2890.3,-2890.3
KR0001,메리츠화재해상보험,000060,손해보험,6,기말 CSM,2024.1Q,107426.8,107426.8
