원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,값_적용후
KR0001,메리츠화재해상보험,000060,손해보험,1,가. 지급여력금액,2023.1Q,115146,115146
KR0001,메리츠화재해상보험,000060,손해보험,2,기본자본,2023.1Q,36312,39162
KR0001,메리츠화재해상보험,000060,손해보험,3,보완자본,2023.1Q,78834,75984
KR0001,메리츠화재해상보험,000060,손해보험,4,Ⅰ. 건전성감독기준 재무상태표 상의 순자산,2023.1Q,102196,102196
KR0001,메리츠화재해상보험,000060,손해보험,5,1. 보통주,2023.1Q,1525,1525
KR0001,메리츠화재해상보험,000060,손해보험,6,2. 자본항목 중 보통주 이외의 자본증권,2023.1Q,2850,2850
KR0001,메리츠화재해상보험,000060,손해보험,7,3. 이익잉여금,2023.1Q,33696,33696
KR0001,메리츠화재해상보험,000060,손해보험,8,4. 자본조정,2023.1Q,-80,-80
KR0001,메리츠화재해상보험,000060,손해보험,9,5. 기타포괄손익누계액,2023.1Q,-407,-407
KR0001,메리츠화재해상보험,000060,손해보험,10,6. 비지배지분,2023.1Q,0,0
KR0001,메리츠화재해상보험,000060,손해보험,11,7. 조정준비금,2023.1Q,64612,64612
KR0001,메리츠화재해상보험,000060,손해보험,12,Ⅱ. 지급여력금액으로 불인정하는 항목 (지급이 예정된 주주배당액 등),2023.1Q,257,257
KR0001,메리츠화재해상보험,000060,손해보험,13,Ⅲ. 보완자본으로 재분류하는 항목 (기본자본 자본증권의 인정한도를 초과한 금액 등),2023.1Q,65626,65626
KR0001,메리츠화재해상보험,000060,손해보험,14,나. 지급여력기준금액 (Ⅰ-Ⅱ+Ⅲ),2023.1Q,56947,56947
KR0001,메리츠화재해상보험,000060,손해보험,15,Ⅰ. 기본요구자본,2023.1Q,76123,76123
KR0001,메리츠화재해상보험,000060,손해보험,16,- 분산효과 : (1+2+3+4+5) - Ⅰ,2023.1Q,24897,24897
KR0001,메리츠화재해상보험,000060,손해보험,17,1. 생명장기손해보험위험액,2023.1Q,58679,58679
KR0001,메리츠화재해상보험,000060,손해보험,18,2. 일반손해보험위험액,2023.1Q,5389,5389
KR0001,메리츠화재해상보험,000060,손해보험,19,3. 시장위험액,2023.1Q,17062,17062
KR0001,메리츠화재해상보험,000060,손해보험,20,4. 신용위험액,2023.1Q,15963,15963
KR0001,메리츠화재해상보험,000060,손해보험,21,5. 운영위험액,2023.1Q,3927,3927
KR0001,메리츠화재해상보험,000060,손해보험,22,Ⅱ. 법인세조정액,2023.1Q,19216,19216
KR0001,메리츠화재해상보험,000060,손해보험,23,Ⅲ. 기타 요구자본(1+2+3),2023.1Q,40,40
