원보험사코드,원수사명,티커,생손보여부,공시분기,경과조치여부,measure구분,-100bp,-50bp,base,+50bp,+100bp
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,적용전,지급여력비율,238.23,244.74,248.24,246.64,244.42
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,적용전,지급여력금액,136152.0,135737.0,135165.0,134285.0,133404.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,적용전,지급여력기준금액,57151.0,55462.0,54449.0,54445.0,54581.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,적용후,지급여력비율,238.23,244.74,248.24,246.64,244.42
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,적용후,지급여력금액,136152.0,135737.0,135165.0,134285.0,133404.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,적용후,지급여력기준금액,57151.0,55462.0,54449.0,54445.0,54581.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,적용전,지급여력비율,162.9,167.1,173.8,174.3,178.3
KR0002,한화손해보험,000370,손해보험,2024.4Q,적용전,지급여력금액,55427.0,55297.0,55151.0,54787.0,54542.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,적용전,지급여력기준금액,34032.0,33101.0,31731.0,31436.0,30598.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,적용후,지급여력비율,194.5,201.2,211.9,217.2,225.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,적용후,지급여력금액,55427.0,55297.0,55151.0,54787.0,54542.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,적용후,지급여력기준금액,28496.0,27490.0,26033.0,25221.0,24239.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,적용전,지급여력비율,101.37,115.23,125.85,135.79,144.14
KR0003,롯데손해보험,000400,손해보험,2024.4Q,적용전,지급여력금액,25558.0,26579.0,27301.0,27273.0,28013.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,적용전,지급여력기준금액,25212.0,23066.0,21693.0,20085.0,19434.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,적용후,지급여력비율,123.76,140.67,154.59,168.26,183.49
KR0003,롯데손해보험,000400,손해보험,2024.4Q,적용후,지급여력금액,25558.0,26579.0,27301.0,27273.0,28013.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,적용후,지급여력기준금액,20651.0,18894.0,17660.0,16208.0,15266.0
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,적용전,지급여력비율,270.34,267.74,264.46,259.1,252.92
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,적용전,지급여력금액,250737.0,246679.0,241639.0,235643.0,229381.0
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,적용전,지급여력기준금액,92749.0,92134.0,91371.0,90947.0,90693.0
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,적용후,지급여력비율,270.34,267.74,264.46,259.1,252.92
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,적용후,지급여력금액,250737.0,246679.0,241639.0,235643.0,229381.0
KR0008,삼성화재해상보험,000810,손해보험,2024.4Q,적용후,지급여력기준금액,92749.0,92134.0,91371.0,90947.0,90693.0
KR0009,현대해상,001450,손해보험,2024.4Q,적용전,지급여력비율,133.1,145.8,157.0,167.6,176.2
KR0009,현대해상,001450,손해보험,2024.4Q,적용전,지급여력금액,114117.0,119555.0,124030.0,127826.0,131232.0
KR0009,현대해상,001450,손해보험,2024.4Q,적용전,지급여력기준금액,85724.0,82021.0,79000.0,76260.0,74482.0
KR0009,현대해상,001450,손해보험,2024.4Q,적용후,지급여력비율,133.1,145.8,157.0,167.6,176.2
KR0009,현대해상,001450,손해보험,2024.4Q,적용후,지급여력금액,114117.0,119555.0,124030.0,127826.0,131232.0
KR0009,현대해상,001450,손해보험,2024.4Q,적용후,지급여력기준금액,85724.0,82021.0,79000.0,76260.0,74482.0
KR0010,KB손해보험,002550,손해보험,2024.4Q,적용전,지급여력비율,168.15,179.06,186.42,187.61,184.11
KR0010,KB손해보험,002550,손해보험,2024.4Q,적용전,지급여력금액,109112.0,112068.0,113185.0,112457.0,110232.0
KR0010,KB손해보험,002550,손해보험,2024.4Q,적용전,지급여력기준금액,64888.0,62586.0,60716.0,59941.0,59875.0
KR0010,KB손해보험,002550,손해보험,2024.4Q,적용후,지급여력비율,168.15,179.06,186.42,187.61,184.11
KR0010,KB손해보험,002550,손해보험,2024.4Q,적용후,지급여력금액,109112.0,112068.0,113185.0,112457.0,110232.0
KR0010,KB손해보험,002550,손해보험,2024.4Q,적용후,지급여력기준금액,64888.0,62586.0,60716.0,59941.0,59875.0
KR0011,DB손해보험,005830,손해보험,2024.4Q,적용전,지급여력비율,184.15,195.24,203.11,207.19,210.27
KR0011,DB손해보험,005830,손해보험,2024.4Q,적용전,지급여력금액,183105.0,187843.0,190973.0,192816.0,193925.0
KR0011,DB손해보험,005830,손해보험,2024.4Q,적용전,지급여력기준금액,99435.0,96209.0,94026.0,93060.0,92225.0
KR0011,DB손해보험,005830,손해보험,2024.4Q,적용후,지급여력비율,184.15,195.24,203.11,207.19,210.27
KR0011,DB손해보험,005830,손해보험,2024.4Q,적용후,지급여력금액,183105.0,187843.0,190973.0,192816.0,193925.0
KR0011,DB손해보험,005830,손해보험,2024.4Q,적용후,지급여력기준금액,99435.0,96209.0,94026.0,93060.0,92225.0
KR0049,악사손해보험,X,손해보험,2024.4Q,적용전,지급여력비율,221.8,217.4,213.0,208.6,204.2
KR0049,악사손해보험,X,손해보험,2024.4Q,적용전,지급여력금액,5390.0,5241.0,5101.0,4969.0,4845.0
KR0049,악사손해보험,X,손해보험,2024.4Q,적용전,지급여력기준금액,2430.0,2411.0,2395.0,2382.0,2372.0
KR0049,악사손해보험,X,손해보험,2024.4Q,적용후,지급여력비율,262.6,256.8,251.0,245.2,239.4
KR0049,악사손해보험,X,손해보험,2024.4Q,적용후,지급여력금액,5390.0,5241.0,5101.0,4969.0,4845.0
KR0049,악사손해보험,X,손해보험,2024.4Q,적용후,지급여력기준금액,2052.0,2040.0,2032.0,2027.0,2024.0
KR0050,하나손해보험,X,손해보험,2024.4Q,적용전,지급여력비율,149.1,152.3,154.89,155.13,155.3
KR0050,하나손해보험,X,손해보험,2024.4Q,적용전,지급여력금액,4846.0,4833.0,4809.0,4763.0,4711.0
KR0050,하나손해보험,X,손해보험,2024.4Q,적용전,지급여력기준금액,3250.0,3173.0,3105.0,3070.0,3034.0
KR0068,한화생명,088350,생명보험,2024.4Q,적용전,지급여력비율,155.2,159.7,163.7,166.1,165.6
KR0068,한화생명,088350,생명보험,2024.4Q,적용전,지급여력금액,215497.0,215035.0,213317.0,212194.0,209408.0
KR0068,한화생명,088350,생명보험,2024.4Q,적용전,지급여력기준금액,138821.0,134620.0,130276.0,127774.0,126491.0
KR0068,한화생명,088350,생명보험,2024.4Q,적용후,지급여력비율,155.2,159.7,163.7,166.1,165.6
KR0068,한화생명,088350,생명보험,2024.4Q,적용후,지급여력금액,215497.0,215035.0,213317.0,212194.0,209408.0
KR0068,한화생명,088350,생명보험,2024.4Q,적용후,지급여력기준금액,138821.0,134620.0,130276.0,127774.0,126491.0
KR0074,라이나생명보험,X,생명보험,2024.4Q,적용전,지급여력비율,325.62,337.35,348.18,355.01,366.54
KR0074,라이나생명보험,X,생명보험,2024.4Q,적용전,지급여력금액,76683.0,75707.0,74732.0,73691.0,74107.0
KR0074,라이나생명보험,X,생명보험,2024.4Q,적용전,지급여력기준금액,23550.0,22442.0,21463.0,20758.0,20218.0
KR0074,라이나생명보험,X,생명보험,2024.4Q,적용후,지급여력비율,325.62,337.35,348.18,355.01,366.54
KR0074,라이나생명보험,X,생명보험,2024.4Q,적용후,지급여력금액,76683.0,75707.0,74732.0,73691.0,74107.0
KR0074,라이나생명보험,X,생명보험,2024.4Q,적용후,지급여력기준금액,23550.0,22442.0,21463.0,20758.0,20218.0
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,적용전,지급여력비율,317.2,309.3,301.4,293.6,285.7
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,적용전,지급여력금액,2200.3,2145.4,2090.6,2035.8,1980.9
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,적용전,지급여력기준금액,693.7,693.6,693.5,693.5,693.4
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,적용후,지급여력비율,317.2,309.3,301.4,293.6,285.7
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,적용후,지급여력금액,2200.3,2145.4,2090.6,2035.8,1980.9
KR0075,비엔피파리바카디프생명보험,X,생명보험,2024.4Q,적용후,지급여력기준금액,693.7,693.6,693.5,693.5,693.4
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,적용전,지급여력비율,,,,,
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,적용전,지급여력금액,,,,,
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,적용전,지급여력기준금액,,,,,
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,적용후,지급여력비율,179.0,171.0,157.0,139.0,115.0
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,적용후,지급여력금액,18762.0,16898.0,14720.0,12691.0,10318.0
KR0083,푸본현대생명보험,X,생명보험,2024.4Q,적용후,지급여력기준금액,10462.0,9870.0,9358.0,9160.0,8961.0
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,적용전,지급여력비율,402.8,389.6,356.4,325.4,299.3
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,적용전,지급여력금액,52730.0,51557.0,49625.0,48604.0,47165.0
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,적용전,지급여력기준금액,13092.0,13232.0,13924.0,14935.0,15759.0
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,적용후,지급여력비율,402.8,389.6,356.4,325.4,299.3
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,적용후,지급여력금액,52730.0,51557.0,49625.0,48604.0,47165.0
KR0095,메트라이프생명보험,X,생명보험,2024.4Q,적용후,지급여력기준금액,13092.0,13232.0,13924.0,14935.0,15759.0
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,적용전,지급여력비율,92.0,120.0,149.0,172.0,202.0
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,적용전,지급여력금액,1694.0,1889.0,2084.0,2273.0,2461.0
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,적용전,지급여력기준금액,1851.0,1581.0,1398.0,1320.0,1217.0
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,적용후,지급여력비율,108.0,147.0,190.0,227.0,277.0
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,적용후,지급여력금액,1694.0,1889.0,2084.0,2273.0,2461.0
KR0100,처브라이프생명보험,X,생명보험,2024.4Q,적용후,지급여력기준금액,1568.0,1283.0,1096.0,1003.0,889.0
KR0104,농협생명보험,X,생명보험,2024.4Q,적용전,지급여력비율,280.5,267.3,246.4,214.4,178.5
KR0104,농협생명보험,X,생명보험,2024.4Q,적용전,지급여력금액,74567.0,74011.0,72496.0,68351.0,61945.0
