원보험사코드,원수사명,티커,생손보여부,공시분기,항목번호,항목명,종류주,값
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.2Q,1,주당액면가액(원),-,500.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,2,(연결)당기순이익(백만원),-,853581.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,2,(연결)당기순이익(백만원),-,815129.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,2,(연결)당기순이익(백만원),-,1300301.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,2,(연결)당기순이익(백만원),-,1566328.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,2,(연결)당기순이익(백만원),-,491433.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,2,(연결)당기순이익(백만원),-,997969.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,2,(연결)당기순이익(백만원),-,1497628.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,2,(연결)당기순이익(백만원),-,1713148.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,2,(연결)당기순이익(백만원),-,464883.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,2,(연결)당기순이익(백만원),-,988836.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,2,(연결)당기순이익(백만원),-,1452812.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,2,(연결)당기순이익(백만원),-,1691460.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,2,(연결)당기순이익(백만원),-,470277.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.2Q,2,(연결)당기순이익(백만원),-,1027428.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,3,(별도)당기순이익(백만원),-,868286.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,3,(별도)당기순이익(백만원),-,816003.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,3,(별도)당기순이익(백만원),-,1296069.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,3,(별도)당기순이익(백만원),-,1566983.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,3,(별도)당기순이익(백만원),-,490864.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,3,(별도)당기순이익(백만원),-,997685.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,3,(별도)당기순이익(백만원),-,1492784.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,3,(별도)당기순이익(백만원),-,1710550.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,3,(별도)당기순이익(백만원),-,462513.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,3,(별도)당기순이익(백만원),-,987254.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,3,(별도)당기순이익(백만원),-,1451076.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,3,(별도)당기순이익(백만원),-,1681024.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,3,(별도)당기순이익(백만원),-,466071.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.2Q,3,(별도)당기순이익(백만원),-,1024338.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,4,(연결)주당순이익(원),-,7371.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,4,(연결)주당순이익(원),-,7752.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,4,(연결)주당순이익(원),-,12370.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,4,(연결)주당순이익(원),-,14892.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,4,(연결)주당순이익(원),-,4678.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,4,(연결)주당순이익(원),-,9501.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,4,(연결)주당순이익(원),-,14257.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,4,(연결)주당순이익(원),-,16296.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,4,(연결)주당순이익(원),-,4424.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,4,(연결)주당순이익(원),-,9413.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,4,(연결)주당순이익(원),-,13829.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,4,(연결)주당순이익(원),-,16091.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,4,(연결)주당순이익(원),-,4483.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.2Q,4,(연결)주당순이익(원),-,9797.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,5,현금배당금총액(백만원),-,634630.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,5,현금배당금총액(백만원),-,148860.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,5,현금배당금총액(백만원),-,662020.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,5,현금배당금총액(백만원),-,342110.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,5,현금배당금총액(백만원),-,832110.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.2Q,5,현금배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.1Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.2Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.3Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.1Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.2Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.1Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.2Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.1Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2026.2Q,6,주식배당금총액(백만원),-,0.0
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,7,(연결)현금배당성향(%),-,40.5
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,7,(연결)현금배당성향(%),-,9.9
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,7,(연결)현금배당성향(%),-,38.6
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,7,(연결)현금배당성향(%),-,23.5
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,7,(연결)현금배당성향(%),-,49.5
KR0001,메리츠화재해상보험,000060,손해보험,2023.4Q,8,주당 현금배당금(원),보통주,6071.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.3Q,8,주당 현금배당금(원),보통주,1424.0
KR0001,메리츠화재해상보험,000060,손해보험,2024.4Q,8,주당 현금배당금(원),보통주,6333.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.3Q,8,주당 현금배당금(원),보통주,3272.0
KR0001,메리츠화재해상보험,000060,손해보험,2025.4Q,8,주당 현금배당금(원),보통주,7959.0
KR0002,한화손해보험,000370,손해보험,2023.1Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2023.2Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2023.3Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2024.1Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2024.2Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2024.3Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2025.1Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2025.3Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2025.4Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2026.1Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2026.2Q,1,주당액면가액(원),-,5000.0
KR0002,한화손해보험,000370,손해보험,2023.1Q,2,(연결)당기순이익(백만원),-,87315.0
KR0002,한화손해보험,000370,손해보험,2023.2Q,2,(연결)당기순이익(백만원),-,183721.0
KR0002,한화손해보험,000370,손해보험,2023.3Q,2,(연결)당기순이익(백만원),-,219586.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,2,(연결)당기순이익(백만원),-,247239.0
KR0002,한화손해보험,000370,손해보험,2024.1Q,2,(연결)당기순이익(백만원),-,114899.0
KR0002,한화손해보험,000370,손해보험,2024.2Q,2,(연결)당기순이익(백만원),-,237250.0
KR0002,한화손해보험,000370,손해보험,2024.3Q,2,(연결)당기순이익(백만원),-,309533.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,2,(연결)당기순이익(백만원),-,315967.0
KR0002,한화손해보험,000370,손해보험,2025.1Q,2,(연결)당기순이익(백만원),-,133442.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,2,(연결)당기순이익(백만원),-,203610.0
KR0002,한화손해보험,000370,손해보험,2025.3Q,2,(연결)당기순이익(백만원),-,239587.0
KR0002,한화손해보험,000370,손해보험,2025.4Q,2,(연결)당기순이익(백만원),-,299017.0
KR0002,한화손해보험,000370,손해보험,2026.1Q,2,(연결)당기순이익(백만원),-,104710.0
KR0002,한화손해보험,000370,손해보험,2026.2Q,2,(연결)당기순이익(백만원),-,223767.0
KR0002,한화손해보험,000370,손해보험,2023.1Q,3,(별도)당기순이익(백만원),-,99514.0
KR0002,한화손해보험,000370,손해보험,2023.2Q,3,(별도)당기순이익(백만원),-,202426.0
KR0002,한화손해보험,000370,손해보험,2023.3Q,3,(별도)당기순이익(백만원),-,253729.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,3,(별도)당기순이익(백만원),-,290698.0
KR0002,한화손해보험,000370,손해보험,2024.1Q,3,(별도)당기순이익(백만원),-,124856.0
KR0002,한화손해보험,000370,손해보험,2024.2Q,3,(별도)당기순이익(백만원),-,254726.0
KR0002,한화손해보험,000370,손해보험,2024.3Q,3,(별도)당기순이익(백만원),-,345740.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,3,(별도)당기순이익(백만원),-,382276.0
KR0002,한화손해보험,000370,손해보험,2025.1Q,3,(별도)당기순이익(백만원),-,142654.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,3,(별도)당기순이익(백만원),-,222595.0
KR0002,한화손해보험,000370,손해보험,2025.3Q,3,(별도)당기순이익(백만원),-,294224.0
KR0002,한화손해보험,000370,손해보험,2025.4Q,3,(별도)당기순이익(백만원),-,361059.0
KR0002,한화손해보험,000370,손해보험,2026.1Q,3,(별도)당기순이익(백만원),-,98909.0
KR0002,한화손해보험,000370,손해보험,2026.2Q,3,(별도)당기순이익(백만원),-,215336.0
KR0002,한화손해보험,000370,손해보험,2023.1Q,4,(연결)주당순이익(원),-,551.0
KR0002,한화손해보험,000370,손해보험,2023.2Q,4,(연결)주당순이익(원),-,1153.0
KR0002,한화손해보험,000370,손해보험,2023.3Q,4,(연결)주당순이익(원),-,1401.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,4,(연결)주당순이익(원),-,1465.0
KR0002,한화손해보험,000370,손해보험,2024.1Q,4,(연결)주당순이익(원),-,720.0
KR0002,한화손해보험,000370,손해보험,2024.2Q,4,(연결)주당순이익(원),-,1490.0
KR0002,한화손해보험,000370,손해보험,2024.3Q,4,(연결)주당순이익(원),-,2034.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,4,(연결)주당순이익(원),-,2121.0
KR0002,한화손해보험,000370,손해보험,2025.1Q,4,(연결)주당순이익(원),-,857.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,4,(연결)주당순이익(원),-,1296.0
KR0002,한화손해보험,000370,손해보험,2025.3Q,4,(연결)주당순이익(원),-,1509.0
KR0002,한화손해보험,000370,손해보험,2025.4Q,4,(연결)주당순이익(원),-,1858.0
KR0002,한화손해보험,000370,손해보험,2026.1Q,4,(연결)주당순이익(원),-,655.0
KR0002,한화손해보험,000370,손해보험,2026.2Q,4,(연결)주당순이익(원),-,1401.0
KR0002,한화손해보험,000370,손해보험,2023.1Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.2Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.3Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,5,현금배당금총액(백만원),-,36624.0
KR0002,한화손해보험,000370,손해보험,2024.1Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.2Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.3Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.1Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.3Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.4Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2026.1Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2026.2Q,5,현금배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.1Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.2Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.3Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.1Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.2Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.3Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2024.4Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.1Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.2Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.3Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2025.4Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2026.1Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2026.2Q,6,주식배당금총액(백만원),-,0.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,7,(연결)현금배당성향(%),-,14.8
KR0002,한화손해보험,000370,손해보험,2023.4Q,8,주당 현금배당금(원),보통주,200.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,8,주당 현금배당금(원),우선주,350.0
KR0002,한화손해보험,000370,손해보험,2023.4Q,10,현금배당수익률(%),보통주,3.8
KR0003,롯데손해보험,000400,손해보험,2023.1Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2023.2Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2023.3Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2023.4Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2024.1Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2024.2Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2024.3Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2025.1Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2025.3Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2025.4Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2026.1Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2026.2Q,1,주당액면가액(원),-,1000.0
KR0003,롯데손해보험,000400,손해보험,2023.1Q,3,(별도)당기순이익(백만원),-,56412.0
KR0003,롯데손해보험,000400,손해보험,2023.2Q,3,(별도)당기순이익(백만원),-,81324.0
KR0003,롯데손해보험,000400,손해보험,2023.3Q,3,(별도)당기순이익(백만원),-,262878.0
KR0003,롯데손해보험,000400,손해보험,2023.4Q,3,(별도)당기순이익(백만원),-,301636.0
KR0003,롯데손해보험,000400,손해보험,2024.1Q,3,(별도)당기순이익(백만원),-,40867.0
KR0003,롯데손해보험,000400,손해보험,2024.2Q,3,(별도)당기순이익(백만원),-,66255.0
KR0003,롯데손해보험,000400,손해보험,2024.3Q,3,(별도)당기순이익(백만원),-,84414.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,3,(별도)당기순이익(백만원),-,24221.0
KR0003,롯데손해보험,000400,손해보험,2025.1Q,3,(별도)당기순이익(백만원),-,11279.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,3,(별도)당기순이익(백만원),-,47461.0
KR0003,롯데손해보험,000400,손해보험,2025.3Q,3,(별도)당기순이익(백만원),-,98992.0
KR0003,롯데손해보험,000400,손해보험,2025.4Q,3,(별도)당기순이익(백만원),-,51331.0
KR0003,롯데손해보험,000400,손해보험,2026.1Q,3,(별도)당기순이익(백만원),-,-19767.0
KR0003,롯데손해보험,000400,손해보험,2026.2Q,3,(별도)당기순이익(백만원),-,-18454.0
KR0003,롯데손해보험,000400,손해보험,2023.1Q,4,(연결)주당순이익(원),-,180.0
KR0003,롯데손해보험,000400,손해보험,2023.2Q,4,(연결)주당순이익(원),-,258.0
KR0003,롯데손해보험,000400,손해보험,2023.3Q,4,(연결)주당순이익(원),-,843.0
KR0003,롯데손해보험,000400,손해보험,2023.4Q,4,(연결)주당순이익(원),-,966.0
KR0003,롯데손해보험,000400,손해보험,2024.1Q,4,(연결)주당순이익(원),-,130.0
KR0003,롯데손해보험,000400,손해보험,2024.2Q,4,(연결)주당순이익(원),-,209.0
KR0003,롯데손해보험,000400,손해보험,2024.3Q,4,(연결)주당순이익(원),-,265.0
KR0003,롯데손해보험,000400,손해보험,2024.4Q,4,(연결)주당순이익(원),-,68.0
KR0003,롯데손해보험,000400,손해보험,2025.1Q,4,(연결)주당순이익(원),-,34.0
KR0003,롯데손해보험,000400,손해보험,2025.2Q,4,(연결)주당순이익(원),-,148.0
KR0003,롯데손해보험,000400,손해보험,2025.3Q,4,(연결)주당순이익(원),-,313.0
KR0003,롯데손해보험,000400,손해보험,2025.4Q,4,(연결)주당순이익(원),-,158.0
KR0003,롯데손해보험,000400,손해보험,2026.1Q,4,(연결)주당순이익(원),-,-64.0
KR0003,롯데손해보험,000400,손해보험,2026.2Q,4,(연결)주당순이익(원),-,-60.0
KR0003,롯데손해보험,000400,손해보험,2023.1Q,5,현금배당금총액(백만원),-,0.0
KR0003,롯데손해보험,000400,손해보험,2023.2Q,5,현금배당금총액(백만원),-,0.0
KR0003,롯데손해보험,000400,손해보험,2023.3Q,5,현금배당금총액(백만원),-,0.0
KR0003,롯데손해보험,000400,손해보험,2023.4Q,5,현금배당금총액(백만원),-,0.0
KR0003,롯데손해보험,000400,손해보험,2024.1Q,5,현금배당금총액(백만원),-,0.0
