원보험사코드,원수사명,티커,생손보여부,항목번호,항목명,공시분기,값,값_당분기
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2023.1Q,419537.0,419537.0
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2023.1Q,374670.0,374670.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2023.1Q,360707.0,360707.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2023.1Q,274578.0,274578.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2023.1Q,25282.0,25282.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2023.1Q,122078.0,122078.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2023.1Q,-61231.0,-61231.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2023.1Q,13963.0,13963.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2023.1Q,-13081.0,-13081.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2023.1Q,-1610.0,-1610.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2023.1Q,6289.0,6289.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2023.1Q,22365.0,22365.0
KR0001,메리츠화재해상보험,,손해보험,13,자동차손익,2023.1Q,14528.0,14528.0
KR0001,메리츠화재해상보험,,손해보험,14,일반손익,2023.1Q,18331.0,18331.0
KR0001,메리츠화재해상보험,,손해보험,15,기타영업수익,2023.1Q,0.0,0.0
KR0001,메리츠화재해상보험,,손해보험,16,기타사업비용,2023.1Q,-12370.224177,-12370.224177
KR0001,메리츠화재해상보험,,손해보험,17,투자손익,2023.1Q,137183.0,137183.0
KR0001,메리츠화재해상보험,,손해보험,18,투자이익,2023.1Q,,
KR0001,메리츠화재해상보험,,손해보험,19,보험금융손익,2023.1Q,,
KR0001,메리츠화재해상보험,,손해보험,20,영업이익,2023.1Q,556720.0,556720.0
KR0001,메리츠화재해상보험,,손해보험,21,영업외손익,2023.1Q,-795.0,-795.0
KR0001,메리츠화재해상보험,,손해보험,22,세전이익,2023.1Q,555925.0,555925.0
KR0001,메리츠화재해상보험,,손해보험,23,법인세,2023.1Q,150210.0,150210.0
KR0001,메리츠화재해상보험,,손해보험,24,당기순이익,2023.1Q,405715.0,405715.0
KR0001,메리츠화재해상보험,,손해보험,1,보험손익,2023.2Q,822607.0,403070.0
KR0001,메리츠화재해상보험,,손해보험,2,생명장기 손익,2023.2Q,832898.0,458228.0
KR0001,메리츠화재해상보험,,손해보험,3,생명장기 원수손익,2023.2Q,820431.0,459724.0
KR0001,메리츠화재해상보험,,손해보험,4,원수 CSM상각,2023.2Q,552832.0,278254.0
KR0001,메리츠화재해상보험,,손해보험,5,원수 위험조정 변동,2023.2Q,52383.0,27101.0
KR0001,메리츠화재해상보험,,손해보험,6,원수 예실차,2023.2Q,230991.0,108913.0
KR0001,메리츠화재해상보험,,손해보험,7,기타 생명장기 원수손익,2023.2Q,-15775.0,45456.0
KR0001,메리츠화재해상보험,,손해보험,8,생명장기 재보험손익,2023.2Q,12467.0,-1496.0
KR0001,메리츠화재해상보험,,손해보험,9,재보험 CSM상각,2023.2Q,-25704.0,-12623.0
KR0001,메리츠화재해상보험,,손해보험,10,재보험 위험조정 변동,2023.2Q,-3204.0,-1594.0
KR0001,메리츠화재해상보험,,손해보험,11,재보험 예실차,2023.2Q,1964.0,-4325.0
KR0001,메리츠화재해상보험,,손해보험,12,기타 생명장기 재보험손익,2023.2Q,39411.0,17046.0
