원보험사코드,원수사명,티커,생손보여부,공시분기,신계약CSM_연누계,월납월초보험료_연누계,신계약CSM배수_연누계,신계약CSM_당분기,월납월초보험료_당분기,신계약CSM배수_당분기
KR0029,AIG손해보험,X,손해보험,2023.4Q,636.1,68.1952,9.3276,,18.2287,
KR0029,AIG손해보험,X,손해보험,2024.4Q,443.8,50.7652,8.7422,,11.4794,
KR0029,AIG손해보험,X,손해보험,2025.4Q,986.82564,74.4764,13.2502,,22.8445,
KR0082,DB생명보험,X,생명보험,2023.1Q,1239.3,87.5174,14.1606,1239.3,87.5174,14.1606
KR0082,DB생명보험,X,생명보험,2023.2Q,2441.7,177.3149,13.7704,1202.4,89.7975,13.3901
KR0082,DB생명보험,X,생명보험,2023.3Q,4086.0,296.7445,13.7694,1644.3,119.4296,13.7679
KR0082,DB생명보험,X,생명보험,2023.4Q,5247.3,369.8263,14.1886,1161.3,73.0818,15.8904
KR0082,DB생명보험,X,생명보험,2024.1Q,1236.4,123.4698,10.0138,1236.4,123.4698,10.0138
KR0082,DB생명보험,X,생명보험,2024.2Q,2181.8,197.8442,11.0279,945.4,74.3744,12.7114
KR0082,DB생명보험,X,생명보험,2024.3Q,3319.1,304.1236,10.9137,1137.3,106.2794,10.701
KR0082,DB생명보험,X,생명보험,2024.4Q,4694.5,420.8125,11.1558,1375.4,116.6889,11.7869
KR0082,DB생명보험,X,생명보험,2025.1Q,1429.5,107.0356,13.3554,1429.5,107.0356,13.3554
KR0082,DB생명보험,X,생명보험,2025.2Q,2402.4,178.219,13.48,972.9,71.1834,13.6675
KR0082,DB생명보험,X,생명보험,2025.3Q,3401.2,255.6708,13.303,998.8,77.4518,12.8958
KR0082,DB생명보험,X,생명보험,2025.4Q,4441.9,338.755,13.1124,1040.7,83.0842,12.5258
KR0082,DB생명보험,X,생명보험,2026.1Q,1024.5,82.7554,12.3799,1024.5,82.7554,12.3799
KR0011,DB손해보험,005830,손해보험,2023.1Q,6766.2,399.1384,16.952,6766.2,399.1384,16.952
KR0011,DB손해보험,005830,손해보험,2023.2Q,13250.2,789.4642,16.7838,6484.0,390.3258,16.6118
KR0011,DB손해보험,005830,손해보험,2023.3Q,21060.1,1223.2998,17.2158,7809.9,433.8356,18.002
KR0011,DB손해보험,005830,손해보험,2023.4Q,28261.2,1638.2893,17.2504,7201.1,414.9895,17.3525
KR0011,DB손해보험,005830,손해보험,2024.1Q,7175.2,451.8063,15.8811,7175.2,451.8063,15.8811
KR0011,DB손해보험,005830,손해보험,2024.2Q,14060.6,858.6212,16.3758,6885.4,406.8149,16.9251
KR0011,DB손해보험,005830,손해보험,2024.3Q,21814.8,1301.1553,16.7657,7754.2,442.5341,17.5223
KR0011,DB손해보험,005830,손해보험,2024.4Q,30780.4,1787.6255,17.2186,8965.6,486.4702,18.4299
KR0011,DB손해보험,005830,손해보험,2025.1Q,7070.2,472.2613,14.9709,7070.2,472.2613,14.9709
KR0011,DB손해보험,005830,손해보험,2025.2Q,14998.7,918.0081,16.3383,7928.5,445.7468,17.787
KR0011,DB손해보험,005830,손해보험,2025.3Q,22236.3,1342.0302,16.5692,7237.6,424.0221,17.0689
KR0011,DB손해보험,005830,손해보험,2025.4Q,29326.9,1786.116,16.4194,7090.6,444.0858,15.9667
KR0011,DB손해보험,005830,손해보험,2026.1Q,6245.9,380.1332,16.4308,6245.9,380.1332,16.4308
KR1011,IBK연금보험,X,생명보험,2023.4Q,323.3,,,,,
KR1011,IBK연금보험,X,생명보험,2024.4Q,403.6,,,,,
KR1011,IBK연금보험,X,생명보험,2025.4Q,717.7,,,,,
KR0099,KB라이프생명,X,생명보험,2023.1Q,1224.8,110.2699,11.1073,1224.8,110.2699,11.1073
KR0099,KB라이프생명,X,생명보험,2023.2Q,2888.8,298.2081,9.6872,1664.0,187.9382,8.854
KR0099,KB라이프생명,X,생명보험,2023.3Q,4539.3,463.4188,9.7952,1650.5,165.2107,9.9903
KR0099,KB라이프생명,X,생명보험,2023.4Q,6346.7,571.6253,11.1029,1807.4,108.2065,16.7032
KR0099,KB라이프생명,X,생명보험,2024.1Q,1313.6,131.5992,9.9818,1313.6,131.5992,9.9818
KR0099,KB라이프생명,X,생명보험,2024.2Q,2273.9,248.9697,9.1332,960.3,117.3705,8.1818
KR0099,KB라이프생명,X,생명보험,2024.3Q,3729.8,443.8298,8.4037,1455.9,194.8601,7.4715
KR0099,KB라이프생명,X,생명보험,2024.4Q,5013.0,628.9669,7.9702,1283.2,185.1371,6.9311
KR0099,KB라이프생명,X,생명보험,2025.1Q,1256.9,188.2782,6.6758,1256.9,188.2782,6.6758
KR0099,KB라이프생명,X,생명보험,2025.2Q,2331.8,391.9144,5.9498,1074.9,203.6362,5.2785
KR0099,KB라이프생명,X,생명보험,2025.3Q,3832.0,623.1771,6.1491,1500.2,231.2627,6.487
KR0099,KB라이프생명,X,생명보험,2025.4Q,5047.3,744.4387,6.78,1215.3,121.2616,10.0221
KR0099,KB라이프생명,X,생명보험,2026.1Q,1415.3,135.087,10.477,1415.3,135.087,10.477
KR0010,KB손해보험,002550,손해보험,2023.1Q,4152.3,299.4995,13.8641,4152.3,299.4995,13.8641
KR0010,KB손해보험,002550,손해보험,2023.2Q,8733.4,618.6847,14.1161,4581.1,319.1852,14.3525
KR0010,KB손해보험,002550,손해보험,2023.3Q,13987.2,984.6643,14.205,5253.8,365.9796,14.3554
KR0010,KB손해보험,002550,손해보험,2023.4Q,18369.7,1317.2211,13.9458,4382.5,332.5568,13.1782
KR0010,KB손해보험,002550,손해보험,2024.1Q,4484.9,380.483,11.7874,4484.9,380.483,11.7874
KR0010,KB손해보험,002550,손해보험,2024.2Q,9015.2,735.0191,12.2653,4530.3,354.5361,12.7781
KR0010,KB손해보험,002550,손해보험,2024.3Q,13807.4,1096.9282,12.5873,4792.2,361.9091,13.2414
KR0010,KB손해보험,002550,손해보험,2024.4Q,19323.2,1497.4046,12.9045,5515.8,400.4764,13.7731
KR0010,KB손해보험,002550,손해보험,2025.1Q,3879.7,395.567,9.8079,3879.7,395.567,9.8079
KR0010,KB손해보험,002550,손해보험,2025.2Q,8142.3,761.9242,10.6865,4262.6,366.3572,11.6351
KR0010,KB손해보험,002550,손해보험,2025.3Q,12809.3,1128.3479,11.3523,4667.0,366.4237,12.7366
KR0010,KB손해보험,002550,손해보험,2025.4Q,17418.6,1506.8911,11.5593,4609.3,378.5432,12.1764
KR0010,KB손해보험,002550,손해보험,2026.1Q,4218.2,309.5359,13.6275,4218.2,309.5359,13.6275
KR0032,NH농협손해보험,X,손해보험,2023.1Q,818.3,71.6751,11.4168,818.3,71.6751,11.4168
KR0032,NH농협손해보험,X,손해보험,2023.2Q,1770.8,145.1044,12.2036,952.5,73.4293,12.9717
KR0032,NH농협손해보험,X,손해보험,2023.3Q,2698.7,210.4503,12.8235,927.9,65.3459,14.1998
KR0032,NH농협손해보험,X,손해보험,2023.4Q,3551.8,270.1504,13.1475,853.1,59.7001,14.2898
KR0032,NH농협손해보험,X,손해보험,2024.1Q,1059.0,99.3401,10.6603,1059.0,99.3401,10.6603
KR0032,NH농협손해보험,X,손해보험,2024.2Q,1793.1,162.4261,11.0395,734.1,63.086,11.6365
KR0032,NH농협손해보험,X,손해보험,2024.3Q,2291.8,217.9536,10.5151,498.7,55.5275,8.9811
KR0032,NH농협손해보험,X,손해보험,2024.4Q,2713.6,262.3877,10.3419,421.8,44.4341,9.4927
KR0032,NH농협손해보험,X,손해보험,2025.1Q,698.3,83.8002,8.3329,698.3,83.8002,8.3329
KR0032,NH농협손해보험,X,손해보험,2025.2Q,1179.5,153.2609,7.696,481.2,69.4607,6.9277
KR0032,NH농협손해보험,X,손해보험,2025.3Q,1769.5,217.7367,8.1268,590.0,64.4758,9.1507
KR0032,NH농협손해보험,X,손해보험,2025.4Q,2327.1,269.9654,8.62,557.6,52.2287,10.6761
KR0032,NH농협손해보험,X,손해보험,2026.1Q,1163.0,102.1542,11.3847,1163.0,102.1542,11.3847
KR1010,교보라이프플래닛생명보험,X,생명보험,2024.4Q,14.4,10.0072,1.439,,4.0593,
KR1010,교보라이프플래닛생명보험,X,생명보험,2025.4Q,20.0,9.8928,2.0217,,1.4757,
KR1010,교보라이프플래닛생명보험,X,생명보험,2023.4Q,49.7,,,,,
